topic	text	who
deadly	Are you all right?	
elect	Carl won the spelling bee and got a trophy!	
able	What is it?	
update	Hold on I need at least a few minutes!	
pen	I don't want to drink caffeine.	
photograph	So what's the big hurry now?	
long	Let's go to the beach.	
theater	Where are you going in such a big hurry?	Glennie Allison
wolf	Only time will tell.	Vernita Ekberg
limit	Does she live in Paris?	Chia Mingo
minority	Never do that again or I won't be your friend!	Alec Weigel
tissue	I brought you into this world so I can take you out!	Vernita Ekberg
game	Let’s go I'm sick of waiting!	Tomiko Venson
stay	How long did it take?	Alec Weigel
annual	Don't go there!	Ayako Mcgeehan
grounds	Is it yours ?That's neat?	Latashia Ours
figure	Tom stood alone under a big clock in the deserted train station.	Elmer Crittendon
deny	How beautiful she is!	Trish Beaton
return	I messed up big time.	Glennie Allison
witch	What a big dog!	Benjamin Galante
garbage	Are you ready for your big date?	Trish Beaton
retirement	Will you come over now?	Ela Salmons
conception	He never wants to go on a rollercoaster again!	Lizabeth Ruland
fail	He threw up in the trash can!	Ela Salmons
stitch	How beautiful she is!	Ayako Mcgeehan
rise	Tom is in big trouble.	Chia Mingo
redundancy	This car is in good condition.	Chia Mingo
issue	I wish I had met my uncle yesterday.	Ela Salmons
fund	Come on down!	Glennie Allison
abridge	You are so disgraceful I can't even believe it!	Alec Weigel
computing	Carl won the spelling bee and got a trophy!	Trish Beaton
anticipation	"You want to grow up to be big and strong like Tom, don't you?"	Ela Salmons
link	Do you mind waiting an extra hour so I can read more of my book?	Elmer Crittendon
appear	"Shut up already, I am speaking!"	Benjamin Galante
right	Don’t worry about it!	Vernita Ekberg
swim	I have seen the real you.	Trish Beaton
cake	Good morning!	Glennie Allison
planet	What should you do if you find a big spider on your bed?	Latashia Ours
unrest	Thank you for finishing the last slice of pizza!	Nan Columbus
summer	Do you mind if I smoke?	Elmer Crittendon
custody	Do you have any big plans for the weekend?	Chia Mingo
tiger	"If you could live anywhere, where would you live and why?"	Ayako Mcgeehan
carbon	Good morning!	Latashia Ours
